sampleID	cage	day	mouse	exp	treatment	treatment2	group_time	group	group_col	group_time_col	bargroup	bargroup2
d12_1007_3	1007	12	3	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post12_FMT	FMT
d12_1007_4	1007	12	4	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post12_FMT	FMT
d12_1007_5	1007	12	5	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post12_FMT	FMT
d12_1008_1	1008	12	1	3	FMT3	FMT	post_CDI_vanco	CDI_FMT2	firebrick2	deepskyblue1	post12_FMT	FMT
d12_1008_2	1008	12	2	3	FMT3	FMT	post_CDI_vanco	CDI_FMT2	firebrick2	deepskyblue1	post12_FMT	FMT
d12_1008_3	1008	12	3	3	FMT3	FMT	post_CDI_vanco	CDI_FMT2	firebrick2	deepskyblue1	post12_FMT	FMT
d12_1008_4	1008	12	4	3	FMT3	FMT	post_CDI_vanco	CDI_FMT2	firebrick2	deepskyblue1	post12_FMT	FMT
d12_1008_5	1008	12	5	3	FMT3	FMT	post_CDI_vanco	CDI_FMT2	firebrick2	deepskyblue1	post12_FMT	FMT
d12_1009_1	1009	12	1	3	FMT3	FMT	post_CDI	CDI_FMT2	firebrick2	cyan	post12_FMT	FMT
d12_1009_2	1009	12	2	3	FMT3	FMT	post_CDI	CDI_FMT2	firebrick2	cyan	post12_FMT	FMT
d12_1009_4	1009	12	4	3	FMT3	FMT	post_CDI	CDI_FMT2	firebrick2	cyan	post12_FMT	FMT
d12_1009_5	1009	12	5	3	FMT3	FMT	post_CDI	CDI_FMT2	firebrick2	cyan	post12_FMT	FMT
d12_1010_2	1010	12	2	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post12_FMT	FMT
d12_1010_3	1010	12	3	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post12_FMT	FMT
d12_1010_4	1010	12	4	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post12_FMT	FMT
d12_1010_5	1010	12	5	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post12_FMT	FMT
d12_1015_1	1015	12	1	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post12_FMT	FMT
d12_1015_2	1015	12	2	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post12_FMT	FMT
d12_1015_3	1015	12	3	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post12_FMT	FMT
d12_1015_4	1015	12	4	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post12_FMT	FMT
d12_1015_5	1015	12	5	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post12_FMT	FMT
d15_972_1	972	15	1	2	abx	abx_only	post_vanco	abx	goldenrod2	red4	post15_noFMT	other
d15_972_2	972	15	2	2	abx	abx_only	post_vanco	abx	goldenrod2	red4	post15_noFMT	other
d15_972_3	972	15	3	2	abx	abx_only	post_vanco	abx	goldenrod2	red4	post15_noFMT	other
d16_972_1_colon	972	16	1	2	abx	abx_only	post_vanco	abx	goldenrod2	red4	post15_noFMT	other
d16_972_3_colon	972	16	3	2	abx	abx_only	post_vanco	abx	goldenrod2	red4	post15_noFMT	other
d16_1006_1	1006	16	1	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post16_noFMT	noFMT
d16_1006_2	1006	16	2	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post16_noFMT	noFMT
d16_1006_4	1006	16	4	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post16_noFMT	noFMT
d16_1006_5	1006	16	5	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post16_noFMT	noFMT
d16_1007_1	1007	16	1	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post16_FMT	FMT
d16_1007_3	1007	16	3	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post16_FMT	FMT
d16_1007_5	1007	16	5	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post16_FMT	FMT
d16_1008_1	1008	16	1	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post16_FMT	FMT
d16_1008_2	1008	16	2	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post16_FMT	FMT
d16_1008_3_cecal	1008	16	3	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post16_FMT	FMT
d16_1008_4	1008	16	4	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post16_FMT	FMT
d16_1008_5	1008	16	5	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post16_FMT	FMT
d16_1009_1	1009	16	1	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post16_FMT	FMT
d16_1009_2	1009	16	2	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post16_FMT	FMT
d16_1009_4	1009	16	4	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post16_FMT	FMT
d16_1009_5	1009	16	5	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post16_FMT	FMT
d16_1010_3	1010	16	3	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post16_FMT	FMT
d16_1010_4	1010	16	4	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post16_FMT	FMT
d16_1010_5	1010	16	5	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post16_FMT	FMT
d16_1015_1	1015	16	1	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post16_FMT	FMT
d16_1015_3	1015	16	3	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post16_FMT	FMT
d16_1015_4	1015	16	4	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post16_FMT	FMT
d16_1015_5	1015	16	5	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post16_FMT	FMT
d19_1006_1	1006	19	1	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post19_noFMT	noFMT
d19_1006_2	1006	19	2	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post19_noFMT	noFMT
d19_1006_3	1006	19	3	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post19_noFMT	noFMT
d19_1006_4	1006	19	4	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post19_noFMT	noFMT
d19_1006_5	1006	19	5	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post19_noFMT	noFMT
d19_1007_1	1007	19	1	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post19_FMT	FMT
d19_1007_2	1007	19	2	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post19_FMT	FMT
d19_1007_3	1007	19	3	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post19_FMT	FMT
d19_1007_5	1007	19	5	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post19_FMT	FMT
d19_1008_1	1008	19	1	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post19_FMT	FMT
d19_1008_2	1008	19	2	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post19_FMT	FMT
d19_1008_3	1008	19	3	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post19_FMT	FMT
d19_1008_4	1008	19	4	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post19_FMT	FMT
d19_1009_1	1009	19	1	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post19_FMT	FMT
d19_1009_2	1009	19	2	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post19_FMT	FMT
d19_1009_4	1009	19	4	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post19_FMT	FMT
d19_1009_5	1009	19	5	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post19_FMT	FMT
d19_1010_3	1010	19	3	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post19_FMT	FMT
d19_1010_4	1010	19	4	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post19_FMT	FMT
d19_1010_5	1010	19	5	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post19_FMT	FMT
d19_1015_1	1015	19	1	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post19_FMT	FMT
d19_1015_3	1015	19	3	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post19_FMT	FMT
d19_1015_4	1015	19	4	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post19_FMT	FMT
d19_1015_5	1015	19	5	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post19_FMT	FMT
d22_1006_1	1006	22	1	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post22_noFMT	noFMT
d22_1006_2	1006	22	2	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post22_noFMT	noFMT
d22_1006_3	1006	22	3	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post22_noFMT	noFMT
d22_1007_1	1007	22	1	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post22_FMT	FMT
d22_1007_2	1007	22	2	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post22_FMT	FMT
d22_1007_3	1007	22	3	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post22_FMT	FMT
d22_1007_5	1007	22	5	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post22_FMT	FMT
d22_1008_1	1008	22	1	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post22_FMT	FMT
d22_1008_2	1008	22	2	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post22_FMT	FMT
d22_1008_4	1008	22	4	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post22_FMT	FMT
d22_1008_5	1008	22	5	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post22_FMT	FMT
d22_1009_1	1009	22	1	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post22_FMT	FMT
d22_1009_2	1009	22	2	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post22_FMT	FMT
d22_1009_4	1009	22	4	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post22_FMT	FMT
d22_1009_5	1009	22	5	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post22_FMT	FMT
d22_1010_3	1010	22	3	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post22_FMT	FMT
d22_1010_4	1010	22	4	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post22_FMT	FMT
d22_1010_5	1010	22	5	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post22_FMT	FMT
d22_1015_1	1015	22	1	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post22_FMT	FMT
d22_1015_3	1015	22	3	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post22_FMT	FMT
d22_1015_4	1015	22	4	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post22_FMT	FMT
d22_1015_5	1015	22	5	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post22_FMT	FMT
d27_1006_3	1006	27	3	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post27_noFMT	noFMT
d27_1006_4	1006	27	4	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post27_noFMT	noFMT
d27_1006_5	1006	27	5	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post27_noFMT	noFMT
d27_1007_1	1007	27	1	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post27_FMT	FMT
d27_1007_2	1007	27	2	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post27_FMT	FMT
d27_1007_3	1007	27	3	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post27_FMT	FMT
d27_1007_5	1007	27	5	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post27_FMT	FMT
d27_1008_1	1008	27	1	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post27_FMT	FMT
d27_1008_2	1008	27	2	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post27_FMT	FMT
d27_1008_4	1008	27	4	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post27_FMT	FMT
d27_1008_5	1008	27	5	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post27_FMT	FMT
d27_1009_1	1009	27	1	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post27_FMT	FMT
d27_1009_2	1009	27	2	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post27_FMT	FMT
d27_1009_4	1009	27	4	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post27_FMT	FMT
d27_1009_5	1009	27	5	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post27_FMT	FMT
d27_1010_3	1010	27	3	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post27_FMT	FMT
d27_1010_4	1010	27	4	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post27_FMT	FMT
d27_1010_5	1010	27	5	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post27_FMT	FMT
d27_1015_1	1015	27	1	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post27_FMT	FMT
d27_1015_3	1015	27	3	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post27_FMT	FMT
d27_1015_4	1015	27	4	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post27_FMT	FMT
d27_1015_5	1015	27	5	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post27_FMT	FMT
d33_1006_1	1006	33	1	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post33_noFMT	noFMT
d33_1006_2	1006	33	2	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post33_noFMT	noFMT
d33_1006_3	1006	33	3	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post33_noFMT	noFMT
d33_1006_4	1006	33	4	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post33_noFMT	noFMT
d33_1006_5	1006	33	5	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post33_noFMT	noFMT
d33_1007_1	1007	33	1	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post33_FMT	FMT
d33_1007_2	1007	33	2	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post33_FMT	FMT
d33_1007_3	1007	33	3	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post33_FMT	FMT
d33_1007_5	1007	33	5	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post33_FMT	FMT
d33_1008_1	1008	33	1	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post33_FMT	FMT
d33_1008_2	1008	33	2	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post33_FMT	FMT
d33_1008_4	1008	33	4	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post33_FMT	FMT
d33_1008_5	1008	33	5	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post33_FMT	FMT
d33_1009_1	1009	33	1	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post33_FMT	FMT
d33_1009_2	1009	33	2	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post33_FMT	FMT
d33_1009_4	1009	33	4	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post33_FMT	FMT
d33_1009_5	1009	33	5	3	FMT3	FMT	post_FMT	CDI_FMT2	firebrick2	olivedrab2	post33_FMT	FMT
d33_1010_3	1010	33	3	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post33_FMT	FMT
d33_1010_4	1010	33	4	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post33_FMT	FMT
d33_1010_5	1010	33	5	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post33_FMT	FMT
d33_1015_1	1015	33	1	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post33_FMT	FMT
d33_1015_3	1015	33	3	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post33_FMT	FMT
d33_1015_4	1015	33	4	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post33_FMT	FMT
d33_1015_5	1015	33	5	3	FMT4	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post33_FMT	FMT
d36_1006_1	1006	36	1	3	abx	no_FMT	post_CDI_vanco_clinda	CDI_noFMT	darkviolet	blue1	post_clinda36_noFMT	noFMT
d36_1006_2	1006	36	2	3	abx	no_FMT	post_CDI_vanco_clinda	CDI_noFMT	darkviolet	blue1	post_clinda36_noFMT	noFMT
d36_1006_3	1006	36	3	3	abx	no_FMT	post_CDI_vanco_clinda	CDI_noFMT	darkviolet	blue1	post_clinda36_noFMT	noFMT
